0,1,2
-11650#,500#,7870#
22360#,700#,7386#
-1380#,600#,7827#
-17140,30,8115.0
-34266.3,0.7,8429.382
-40524,3,8534.67
-49477.7,2.7,8691.82
-51443.03,0.16,8714.569
-55419.51,0.11,8775.995
-50711.39,0.13,8670.409
-48332.10,0.18,8609.608
-34344,5,8325.56
-22560,80,8083.9
-1880#,600#,7671#
6790#,700#,7677#
-12300,110,8022.8
-29390,40,8330.6
-38770,18,8492.8
-46881.4,2.9,8631.13
-51852,3,8710.14
-55287.62,0.12,8760.210
-54690.3,0.3,8734.180
-50947.5,1.7,8648.80
-42659.4,1.7,8477.66
-29631,25,8217.1
-13140#,500#,7891#
12560#,800#,7578#
-5150#,400#,7891#
-25160,50,8247.5
-34438,14,8404.81
-45744,16,8599.69
-49898,11,8662.14
-56935.38,0.13,8777.967
-55558.2,1.0,8737.977
-56254.6,0.3,8736.385
-48010.1,0.4,8569.220
-39278,5,8393.03
-21240#,400#,8045#
-5700#,220#,7742#
470#,500#,7792#
-18650,160,8125.9
-30840,60,8333.4
-41832,29,8519.0
-49125,27,8637.3
-55110.32,0.23,8731.936
-57712.54,0.26,8765.025
-57481.4,0.3,8746.598
-54030.0,0.4,8669.620
-45336.0,0.7,8497.323
-31640,160,8234.0
-14270#,400#,7904#
7980#,600#,7663#
-13510,250,8033
-25520,260,8234
-39420,100,8467.9
-46180,180,8575
-55285.1,0.6,8723.261
-56911.67,0.29,8738.336
-60607.16,0.27,8790.356
-56040.5,0.5,8694.839
-53907.6,0.4,8642.781
-38630,6,8355.99
-25390#,400#,8106#
-3840#,500#,7707#
14130#,600#,7563#
-6560#,400#,7912#
-21380,180,8158
-34400,210,8373
-44440,80,8535.2
-52525.0,1.9,8663.40
-57486.3,1.5,8736.715
-60182.02,0.27,8770.283
-59345.7,0.5,8741.885
-56084.0,0.6,8670.936
-47309.0,0.5,8503.265
-32550#,200#,8231#
-15410#,400#,7916#
21930#,700#,7437#
-1530#,500#,7828#
-15480,190,8055
-30920,180,8308
-40430,100,8458.2
-51991.8,3.0,8644.00
-55827.6,2.7,8696.64
-62155.3,0.3,8792.253
-59847.3,1.2,8738.972
-60228.9,0.3,8732.062
-51667.9,0.6,8570.970
-42300,50,8395.9
-23540#,300#,8059#
-7580#,500#,7770#
28750#,800#,7332#
5810#,600#,7708#
-10830,250,7976
-25880#,300#,8218#
-37610,140,8403.8
-48115.9,0.7,8568.599
-55525.3,2.3,8680.92
-60665.0,0.3,8754.775
-62229.8,0.4,8768.038
-61156.8,0.4,8736.591
-56358.5,0.5,8642.003
-47215.7,0.8,8473.780
-33760#,170#,8232#
-16370#,400#,7924#
11000#,700#,7627#
-4550#,500#,7873#
-22100,240,8153
-33090,180,8323
-46908.5,1.1,8540.188
-52967.9,2.3,8628.14
-61413,3,8755.85
-61650.4,0.4,8746.769
-64473.2,0.4,8780.777
-58345.3,1.6,8665.605
-54174.5,0.5,8583.052
-39590#,200#,8327#
-27530#,300#,8113#
-5640#,400#,7735#
19010#,800#,7503#
500#,600#,7794#
-16370#,300#,8058#
-30180,230,8271
-42496.5,1.9,8460.17
-51742.1,2.3,8598.92
-58920.5,2.6,8703.77
-62898.2,0.8,8756.151
-64222.0,0.4,8765.028
-61984.1,1.0,8715.515
-56349,16,8610.31
-47130,40,8446.4
-33790#,300#,8215#
-17200#,300#,7930#
7310#,600#,7688#
-12200#,400#,7990#
-25210,260,8188
-40853,3,8427.39
-48524,7,8538.50
-58878.1,2.8,8692.88
-61424,19,8721.33
-66746.4,0.4,8794.556
-62787.5,0.6,8718.084
-61168.1,0.6,8679.345
-51987.0,0.6,8518.645
-42140#,140#,8347#
-24420#,300#,8049#
13070#,700#,7603#
-5860#,500#,7891#
-21740,340,8131
-36180,70,8347.5
-46887,4,8505.10
-55636,4,8631.55
-61852,19,8717.80
-65512.9,0.4,8763.495
-65579.9,0.4,8752.140
-62213.4,1.6,8686.287
-56547.1,1.3,8583.927
-46920,40,8418.7
-33500#,200#,8193#
-16850#,500#,7917#
-1480#,600#,7826#
-16320#,400#,8045#
-33640,300,8304
-42989,4,8437.42
-54970,5,8612.39
-59792,20,8675.5
-67099.0,0.5,8777.464
-65424.4,0.4,8739.074
-66004.0,0.6,8735.906
-58832.8,1.4,8611.632
-54316,4,8528.82
-39530#,200#,8286#
-26860#,500#,8075#
5210#,700#,7726#
-12110#,500#,7981#
-28310#,200#,8218#
-40967,4,8400.68
-51218,5,8546.35
-59185.2,2.1,8656.88
-65125.8,0.5,8736.242
-67263.7,0.6,8757.097
-65912.0,0.6,8724.266
-62657.5,0.8,8662.160
-56478.2,2.2,8555.06
-46940,80,8396.2
-33020#,300#,8170#
-16490#,500#,7904#
-6300#,500#,7894#
-25140#,300#,8168#
-36750,11,8331.80
-50068,4,8521.72
-56409,14,8605.94
-66006.3,1.4,8739.509
-66258.3,0.6,8731.473
-68899.2,0.7,8759.633
-63723.7,1.1,8669.363
-61607.0,2.4,8625.44
-52025,6,8468.40
-41660#,200#,8300#
-23570#,400#,8014#
-1740#,600#,7829#
-19270#,400#,8079#
-33580#,200#,8281#
-45708,4,8449.94
-55322,6,8581.74
-63742.7,2.9,8695.75
-67319.6,0.9,8737.460
-67880.4,0.8,8734.153
-66879.2,1.2,8707.533
-62674,4,8633.09
-56587.2,0.4,8530.569
-46580,70,8369.5
-32530#,300#,8148#
-15550#,420#,7883#
-15690#,500#,8026#
-28920#,300#,8209#
-43900#,190#,8418#
-51643,4,8520.13
-63463.8,3.0,8682.47
-65567.0,1.6,8701.891
-70007.2,0.8,8755.682
-67086.1,1.4,8701.219
-66978.8,1.9,8688.137
-58894.5,1.8,8557.746
-54189.4,0.5,8477.048
-38790#,260#,8239#
-25630#,500#,8034#
-9630#,500#,7939#
-25360#,400#,8155#
-39200#,200#,8345#
-50390,90,8495.4
-59979,4,8623.10
-65736.2,1.4,8695.204
-68417.9,0.8,8722.731
-69327.8,1.2,8724.580
-67100.7,1.3,8680.964
-63110,30,8611.8
-56434.7,1.5,8503.708
-46260,40,8344.9
-32140#,300#,8129#
-5640#,600#,7884#
-20450#,500#,8084#
-36890#,300#,8308#
-46525,11,8434.20
-59213.9,2.1,8604.29
-62976.4,1.1,8646.865
-69564.7,1.9,8729.809
-68910.2,1.2,8709.281
-70562.0,0.8,8721.703
-64334.0,1.4,8621.554
-61929.9,1.6,8576.034
-51426,15,8414.80
-41100#,200#,8256#
-16620#,500#,8030#
-31930#,400#,8235#
-44370,470,8399
-55406.2,2.2,8543.16
-62711.1,1.5,8635.023
-67328.8,2.7,8689.04
-70139.1,0.8,8717.605
-69906.7,0.8,8703.312
-67893,4,8663.94
-63146.5,2.8,8586.06
-56502,5,8481.46
-46330,130,8327.1
-32290#,400#,8118#
-11170#,600#,7955#
-29250#,500#,8195#
-40300#,300#,8338#
-54226.1,2.2,8520.21
-59783.0,1.4,8586.526
-68145.5,2.1,8691.805
-68588.3,0.8,8687.089
-72585.91,0.08,8731.746
-68230,4,8660.38
-67868.2,2.0,8644.490
-59061.8,1.0,8511.313
-53941,8,8429.32
-38330#,500#,8202#
-6700#,600#,7895#
-23990#,500#,8121#
-37970#,300#,8302#
-50108.2,2.4,8457.65
-58987.4,1.9,8568.570
-65593.4,1.9,8648.345
-69699.3,1.7,8693.874
-71297.53,0.06,8705.050
-70953,4,8689.61
-68227,7,8641.56
-63646,7,8568.08
-56552,7,8460.18
-46010,40,8305.1
-31950#,400#,8102#
-20660#,500#,8076#
-33540#,400#,8239#
-48700#,200#,8433#
-56006,6,8521.56
-65756.7,2.5,8642.75
-68049.6,3.0,8663.17
-73422.451,0.013,8725.201
-70860.1,1.7,8680.002
-72213.210,0.015,8687.716
-65288,6,8583.56
-62331.8,2.0,8533.039
-51916,3,8381.71
-40830#,100#,8221#
-14700#,600#,7996#
-30560#,400#,8197#
-44240#,200#,8369#
-54470.2,0.7,8495.080
-62558.9,2.0,8592.498
-68460.6,0.7,8660.756
-71856.97,0.05,8695.610
-73034.2,0.9,8700.875
-72169.49,0.07,8678.914
-69107,4,8627.65
-64324,8,8553.44
-57218.7,1.2,8448.276
-46620,220,8296.5
-31820#,300#,8089#
-10590#,600#,7943#
-25660#,500#,8131#
-42190#,300#,8338#
-50981.6,0.9,8443.602
-62303.0,1.5,8582.274
-66296.6,2.0,8624.527
-73212.898,0.018,8705.236
-72291.4,0.9,8682.817
-75251.959,0.016,8711.478
-70289,9,8635.88
-69014,4,8608.81
-60479.1,0.9,8486.216
-54250,30,8393.9
-38250#,300#,8173#
-21910#,600#,8082#
-37350#,400#,8272#
-48862.8,1.2,8411.250
-58789.2,2.0,8530.004
-65992.4,2.4,8613.39
-71212.87,0.05,8671.029
-73916.3,1.7,8695.979
-74599.50,0.06,8694.691
-73234.8,2.8,8666.81
-70169.5,2.0,8616.837
-64830.5,1.3,8537.340
-57803,8,8435.92
-46440#,200#,8278#
-31600#,400#,8075#
-15320#,700#,7997#
-34880#,400#,8238#
-44789,13,8354.67
-57483.2,1.9,8507.380
-63704.1,1.1,8577.104
-71862,4,8671.66
-72817,10,8673.88
-77025.95,0.18,8717.807
-73452,4,8661.96
-74178.3,0.3,8661.238
-66935,3,8558.35
-63174,7,8500.10
-52170#,300#,8349#
-40850#,400#,8194#
-28160#,500#,8150#
-42410,100,8320.9
-53432.3,2.2,8450.583
-62548.4,1.2,8556.072
-69530,40,8634.5
-73636,5,8676.62
-75917.47,0.22,8695.592
-76068.1,1.0,8687.596
-74442,3,8657.11
-70802.8,1.9,8601.140
-65480,7,8523.86
-57800,80,8416.8
-46770#,300#,8267#
-31650#,500#,8066#
-23240#,600#,8088#
-36680#,300#,8246#
-51648.6,2.6,8423.55
-59223.7,2.9,8508.45
-69535.3,2.1,8627.571
-72215,3,8651.28
-77759.5,0.9,8710.814
-75889.0,1.0,8677.654
-77893.5,0.7,8692.930
-72175.5,1.9,8611.676
-70311,3,8578.60
-61148,6,8454.28
-54760#,300#,8365#
-38420#,400#,8151#
-16090#,700#,8000#
-31910#,300#,8185#
-46200,5,8351.93
-57628,3,8483.36
-66291.7,2.1,8580.659
-72533.3,2.6,8648.06
-76389.0,1.0,8686.000
-77977.1,1.0,8695.947
-77696.2,1.1,8682.821
-75457,5,8645.51
-71528,3,8587.35
-65713,5,8505.90
-57520,90,8395.2
-46360#,400#,8248#
-31460#,500#,8054#
-10720#,800#,7935#
-25730#,400#,8108#
-42314,3,8301.12
-52930.7,2.4,8421.049
-65415.1,2.2,8563.757
-70105,4,8611.42
-77593.9,0.5,8693.197
-77498.7,1.0,8682.495
-80591.795,0.006,8710.675
-76188,3,8647.43
-76010,6,8635.72
-68064,5,8529.28
-63614.1,1.6,8465.467
-51810#,300#,8312#
-40370#,400#,8163#
-20390#,500#,8044#
-36290#,300#,8226#
-49257.1,2.6,8372.58
-60976.4,2.4,8504.346
-69669.3,2.8,8599.65
-75341,3,8658.56
-79014,4,8693.39
-79990.643,0.009,8695.730
-79070.6,2.3,8675.219
-76798,7,8638.41
-72206,19,8573.66
-65912,6,8488.40
-57610,160,8379.0
-46340#,400#,8234#
-31320#,500#,8043#
-13720#,500#,7965#
-31830#,400#,8171#
-44094,30,8307.5
-58148,3,8465.52
-65854,3,8547.94
-75947.7,2.0,8658.793
-77783,26,8671.3
-82439.345,0.004,8717.447
-79759.0,2.2,8676.224
-80649.6,1.2,8677.513
-73894,4,8587.78
-71422,5,8549.03
-61193.8,0.4,8417.956
-54170#,300#,8325#
-37700#,400#,8120#
-25100#,500#,8090#
-39740,40,8253.6
-53123,4,8401.77
-63189,3,8510.99
-72413.6,2.6,8610.30
-78575,3,8673.59
-81480.3,2.0,8698.563
-82167.341,0.005,8697.442
-81103.3,2.8,8675.72
-77842,19,8628.15
-73175,6,8564.04
-66280,4,8473.71
-57510,16,8361.33
-45850#,400#,8215#
-30630#,500#,8027#
-20060#,500#,8032#
-33760#,400#,8182#
-49400,440,8355
-58962,3,8456.72
-70503.2,2.5,8581.822
-75632,3,8632.37
-83265.676,0.004,8712.030
-82747.00,0.20,8696.901
-84523.100,0.005,8708.457
-79283,14,8638.43
-77969,4,8614.05
-69134,5,8502.22
-64110.9,2.9,8434.72
-51570#,300#,8280#
-39770#,400#,8133#
-28870#,500#,8124#
-43590#,300#,8285#
-55617.9,3.0,8413.85
-66426.1,2.2,8529.092
-73892,3,8605.91
-80709.53,0.25,8675.284
-84597.802,0.006,8710.984
-84880.076,0.005,8705.236
-83018.4,1.1,8674.845
-79347,4,8623.65
-73874,7,8551.76
-66884.8,2.9,8462.42
-57690,4,8347.74
-45730#,400#,8201#
-22390#,500#,8050#
-39520#,400#,8236#
-50450#,200#,8351#
-63884,3,8495.00
-70716,3,8563.75
-79691.3,2.6,8656.850
-82609.00,0.16,8681.115
-87921.629,0.006,8732.596
-84299.0,1.5,8682.540
-83629,5,8666.03
-76170,60,8572.4
-72687,4,8523.91
-61670,4,8389.83
-54340#,300#,8298#
-36860#,400#,8090#
-33040#,400#,8161#
-46530#,300#,8304#
-58992,4,8435.28
-68274,3,8530.78
-76535.8,2.1,8614.816
-81712,5,8664.19
-86209.03,0.09,8705.923
-87711.2,0.3,8714.011
-84878.0,2.8,8673.39
-80626,24,8616.82
-75015,4,8544.99
-67395,4,8450.58
-58369,24,8340.38
-45650#,360#,8189#
-28470#,500#,8109#
-40990#,400#,8240#
-55800,330,8396
-64000,3,8478.19
-74959.3,1.9,8591.260
-79366,6,8631.53
-85950.9,1.4,8696.004
-86496.9,0.4,8693.378
-88772.55,0.12,8709.970
-82662,3,8633.38
-80173,3,8597.03
-70724.7,1.0,8483.360
-64884,4,8409.77
-51630#,200#,8254#
-39710#,400#,8113#
-36500#,400#,8189#
-50580,430,8335
-61107,4,8441.92
-70974.0,2.2,8541.752
-77745,8,8607.56
-83652,5,8663.88
-86351.3,1.8,8684.942
-87895.59,0.09,8693.315
-86638.0,2.9,8670.90
-82209,6,8613.63
-75986.7,2.4,8536.656
-68239.8,2.2,8442.929
-58570#,300#,8328#
-46170#,420#,8183#
-30380#,500#,8121#
-46720#,400#,8290#
-56233,7,8384.91
-68769.3,2.7,8512.675
-74772,6,8569.42
-82867,3,8648.91
-84816,9,8661.59
-88459.02,0.09,8692.678
-86453.3,1.8,8662.373
-86808.59,0.16,8657.731
-78926,3,8563.54
-74301.2,2.7,8504.774
-62999,4,8373.42
-54780,350,8276
-37530#,400#,8080#
-40860#,400#,8225#
-52890,430,8346
-64136.0,2.5,8458.108
-72620,8,8540.92
-80086,8,8612.79
-84227,10,8648.91
-87122.0,0.5,8671.621
-87212.8,1.5,8664.185
-86807.08,0.18,8651.409
-83606.1,1.0,8608.578
-77216.7,2.1,8531.463
-69011.8,2.6,8434.826
-58980,370,8319
-46400#,400#,8175#
-36800#,500#,8180#
-47650#,200#,8287#
-61348,12,8424.33
-68562.8,2.0,8492.764
-78845.7,1.7,8593.834
-82351,6,8622.81
-87269.33,0.16,8666.802
-86369.1,1.5,8648.901
-88414.08,0.14,8662.334
-84158,4,8608.74
-82584,3,8583.66
-72908,3,8472.40
-66102,4,8391.68
-52400#,400#,8238#
-40440#,500#,8102#
-30460#,500#,8112#
-43850#,300#,8245#
-56159,19,8366.00
-65890,20,8460.20
-75117,6,8549.09
-81208,7,8604.96
-85659.9,0.9,8643.592
-86786.3,0.5,8647.213
-87711.87,0.12,8648.721
-86021,5,8622.69
-83458,10,8587.47
-78341,4,8525.37
-69966,3,8428.98
-59910#,400#,8315#
-47060#,570#,8171#
-38210#,300#,8184#
-53082,19,8330.87
-61354,3,8408.90
-72918,8,8521.20
-78330,6,8569.43
-85438.86,0.11,8635.328
-85602.83,0.15,8628.887
-88794.89,0.12,8653.988
-85822,5,8614.87
-86080.39,0.17,8609.413
-79688,10,8534.67
-76183,4,8490.02
-64510,90,8360.3
-55570#,410#,8259#
-38090#,500#,8069#
-34000#,400#,8140#
-47420,130,8269.9
-58519.1,1.9,8376.187
-68581,3,8471.85
-76115,7,8541.46
-82936.69,0.12,8603.718
-85603,4,8623.14
-87544.70,0.16,8635.093
-87224,4,8623.73
-86120.6,2.8,8604.280
-82600,40,8559.9
-77806,5,8502.43
-70904,12,8423.21
-60730,420,8310
-47390#,400#,8165#
-28050#,400#,8078#
-44120#,300#,8234#
-54369,16,8330.73
-66422,3,8445.74
-72289,8,8497.62
-81282,8,8581.40
-83525,5,8596.30
-88115.98,0.17,8635.169
-86432,3,8610.00
-88225,6,8620.31
-83175,12,8560.80
-81321,5,8533.90
-73070,30,8441.7
-67640,50,8378.3
-53910#,300#,8230#
-38400#,400#,8175#
-51121,4,8295.30
-62519,5,8402.52
-70644,7,8476.69
-77617,10,8539.23
-82335,12,8578.99
-85970.11,0.23,8607.798
-87327.9,0.9,8613.610
-87625.4,0.3,8608.713
-85585,19,8580.20
