N,Z,A,mass_xx_kev,mass_xx_uncert,bea_kev,A,atom_mass_muu,atom_mass_uncert
12,4,16,57450,170,4285,16,061670,180
11,5,16,37112,25,5507.4,16,039841,26
10,6,16,13694,4,6922.05,16,014701,4
9,7,16,5683.9,2.3,7373.80,16,006101.9,2.5
8,8,16,-4737.00217,0.00030,7976.207,15,994914.6193,0.0003
7,9,16,10675,5,6964.0,16,011460,6
6,10,16,23987,20,6083.2,16,025751,22
12,5,17,43720,200,5270,17,046930,220
11,6,17,21032,17,6558.0,17,022579,19
10,7,17,7870,15,7286.2,17,008449,16
9,8,17,-808.7642,0.0006,7750.729,16,999131.7560,0.0007
8,9,17,1951.70,0.25,7542.328,17,002095.24,0.27
7,10,17,16500.5,0.4,6640.499,17,017714.0,0.4
6,11,17,34720,60,5523,17,037270,60
13,5,18,51790,200,4977,18,055600,220
12,6,18,24920,30,6426.1,18,026750,30
11,7,18,13113,19,7038.6,18,014078,20
10,8,18,-782.8163,0.0006,7767.098,17,999159.6121,0.0007
9,9,18,873.1,0.5,7631.638,18,000937.3,0.5
8,10,18,5317.6,0.4,7341.258,18,005708.7,0.4
7,11,18,25040,90,6202,18,026880,100
14,5,19,59770,530,4720,19,064170,560
13,6,19,32410,100,6118,19,034800,110
12,7,19,15856,16,6948.5,19,017022,18
11,8,19,3332.9,2.6,7566.50,19,003578.0,2.8
10,9,19,-1487.4451,0.0008,7779.019,18,998403.1621,0.0009
9,10,19,1752.05,0.16,7567.343,19,001880.91,0.17
8,11,19,12929,11,6937.9,19,013880,11
7,12,19,31840,60,5901,19,034180,60
15,5,20,69400,550,4406,20,074510,590
14,6,20,37500,230,5961,20,040260,250
13,7,20,21770,80,6709,20,023370,80
12,8,20,3796.2,0.9,7568.57,20,004075.4,0.9
11,9,20,-17.463,0.030,7720.135,19,999981.25,0.03
10,10,20,-7041.9322,0.0015,8032.241,19,992440.1753,0.0016
9,11,20,6850.5,1.1,7298.50,20,007354.3,1.2
8,12,20,17477.7,1.9,6728.03,20,018763.1,2.0
16,5,21,78380,560,4153,21,084150,600
15,6,21,45640#,600#,5674#,21,049000#,640#
14,7,21,25230,130,6609,21,027090,140
13,8,21,8062,12,7389.4,21,008655,13
12,9,21,-47.6,1.8,7738.29,20,999948.9,1.9
11,10,21,-5731.78,0.04,7971.714,20,993846.69,0.04
10,11,21,-2184.86,0.04,7765.558,20,997654.46,0.05
9,12,21,10903.9,0.8,7105.03,21,011705.8,0.8
8,13,21,27090#,600#,6297#,21,029080#,640#
16,6,22,53610,230,5421,22,057550,250
15,7,22,31760,210,6379,22,034100,220
14,8,22,9280,60,7364.9,22,009970,60
13,9,22,2793,12,7624.3,22,002999,13
12,10,22,-8024.716,0.018,8080.466,21,991385.114,0.019
11,11,22,-5181.39,0.13,7915.662,21,994437.55,0.14
10,12,22,-399.99,0.16,7662.765,21,999570.60,0.17
9,13,22,18200#,400#,6782#,22,019540#,430#
8,14,22,33640#,500#,6044#,22,036110#,540#
17,6,23,64170#,1000#,5080#,23,068890#,1070#
16,7,23,36720,420,6237,23,039420,450
15,8,23,14620,120,7163,23,015700,130
14,9,23,3290,30,7622.3,23,003530,40
13,10,23,-5154.05,0.10,7955.256,22,994466.91,0.11
12,11,23,-9529.8535,0.0018,8111.494,22,989769.2820,0.0019
11,12,23,-5473.67,0.03,7901.123,22,994123.77,0.03
10,13,23,6748.1,0.3,7335.728,23,007244.4,0.4
9,14,23,23950#,500#,6554#,23,025710#,540#
17,7,24,46940#,400#,5887#,24,050390#,430#
16,8,24,18500,160,7040,24,019860,180
15,9,24,7540,100,7464,24,008100,100
14,10,24,-5951.6,0.5,7993.325,23,993610.6,0.6
13,11,24,-8417.901,0.017,8063.488,23,990963.012,0.018
12,12,24,-13933.578,0.013,8260.710,23,985041.689,0.014
11,13,24,-48.81,0.23,7649.581,23,999947.60,0.24
10,14,24,10745,19,7167.2,24,011535,21
9,15,24,34020#,500#,6165#,24,036520#,540#
18,7,25,55980#,500#,5613#,25,060100#,540#
17,8,25,27330,170,6728,25,029340,180
16,9,25,11330,100,7336,25,012170,100
15,10,25,-2036,29,7839.8,24,997810,30
14,11,25,-9357.8,1.2,8101.40,24,989954.0,1.3
13,12,25,-13192.78,0.05,8223.503,24,985836.97,0.05
12,13,25,-8915.97,0.06,8021.137,24,990428.31,0.07
11,14,25,3827,10,7480.1,25,004109,11
10,15,25,20190#,400#,6794#,25,021680#,430#
18,8,26,34660,160,6497,26,037210,180
17,9,26,18670,110,7082,26,020050,110
16,10,26,481,18,7751.9,26,000516,20
15,11,26,-6861,4,8004.20,25,992635,4
14,12,26,-16214.544,0.029,8333.871,25,982592.97,0.03
13,13,26,-12210.14,0.07,8149.765,25,986891.88,0.07
12,14,26,-7141.00,0.11,7924.708,25,992333.82,0.12
11,15,26,10970#,200#,7198#,26,011780#,210#
10,16,26,27680#,600#,6525#,26,029720#,640#
19,8,27,44670#,500#,6185#,27,047960#,540#
18,9,27,25130,120,6880,27,026980,130
17,10,27,7050,90,7520,27,007570,100
16,11,27,-5518,4,7956.95,26,994076,4
15,12,27,-14586.59,0.05,8263.853,26,984340.65,0.05
14,13,27,-17196.86,0.05,8331.553,26,981538.41,0.05
13,14,27,-12384.51,0.11,8124.342,26,986704.69,0.12
12,15,27,-659,9,7661.1,26,999292,10
11,16,27,17490#,400#,6960#,27,018780#,430#
20,8,28,52080#,700#,5988#,28,055910#,750#
19,9,28,33400,120,6627,28,035860,130
18,10,28,11300,130,7388,28,012130,140
17,11,28,-988,10,7799.3,27,998939,11
16,12,28,-15019.95,0.26,8272.453,27,983875.43,0.28
15,13,28,-16850.72,0.05,8309.897,27,981910.01,0.05
14,14,28,-21492.7971,0.0005,8447.744,27,976926.5344,0.0006
13,15,28,-7147.9,1.1,7907.48,27,992326.5,1.2
12,16,28,4070,160,7479,28,004370,170
11,17,28,28270#,500#,6587#,28,030350#,540#
20,9,29,40150,530,6444,29,043100,560
19,10,29,18400,150,7167,29,019750,160
18,11,29,2680,7,7682.15,29,002877,8
17,12,29,-10612.4,0.3,8113.532,28,988607.2,0.4
16,13,29,-18207.8,0.3,8348.465,28,980453.2,0.4
15,14,29,-21895.0815,0.0006,8448.636,28,976494.6643,0.0006
14,15,29,-16952.8,0.4,8251.237,28,981800.4,0.4
13,16,29,-3094,13,7746.4,28,996678,14
12,17,29,14020#,190#,7129#,29,015050#,200#
11,18,29,37970#,440#,6276#,29,040760#,470#
21,9,30,48960#,500#,6205#,30,052560#,540#
20,10,30,23280,250,7035,30,024990,270
19,11,30,8475,5,7501.97,30,009098,5
18,12,30,-8881.4,1.3,8054.43,29,990465.5,1.4
17,13,30,-15864.1,1.9,8261.10,29,982969.2,2.1
16,14,30,-24432.962,0.022,8520.655,29,973770.137,0.023
15,15,30,-20200.86,0.07,8353.506,29,978313.49,0.07
14,16,30,-14059.25,0.21,8122.708,29,984906.77,0.22
13,17,30,4675,24,7472.2,30,005018,26
12,18,30,22070#,180#,6866#,30,023690#,190#
22,9,31,56840#,540#,6011#,31,061020#,570#
21,10,31,31180,270,6813,31,033470,290
20,11,31,12246,14,7398.7,31,013147,15
19,12,31,-3122,3,7869.19,30,996648,3
18,13,31,-14950.7,2.2,8225.52,30,983949.8,2.4
17,14,31,-22949.04,0.04,8458.292,30,975363.20,0.05
16,15,31,-24440.5444,0.0007,8481.168,30,973761.9977,0.0008
15,16,31,-19042.53,0.23,8281.801,30,979557.00,0.25
14,17,31,-7035,3,7869.21,30,992448,4
13,18,31,11330#,200#,7252#,31,012160#,220#
12,19,31,34260#,300#,6487#,31,036780#,320#
22,10,32,37000#,500#,6671#,32,039720#,540#
21,11,32,18640,40,7219.9,32,020010,40
20,12,32,-829,3,7803.84,31,999110,4
19,13,32,-11099,7,8100.34,31,988084,8
18,14,32,-24077.69,0.30,8481.469,31,974151.5,0.3
17,15,32,-24304.88,0.04,8464.120,31,973907.64,0.04
16,16,32,-26015.5371,0.0013,8493.130,31,972071.1735,0.0014
15,17,32,-13334.7,0.6,8072.406,31,985684.6,0.6
14,18,32,-2200.4,1.8,7700.01,31,997637.8,1.9
13,19,32,21990#,400#,6920#,32,023610#,430#
23,10,33,46130#,600#,6436#,33,049520#,640#
22,11,33,23780,450,7090,33,025530,480
21,12,33,4962.9,2.7,7636.44,33,005327.9,2.9
20,13,33,-8497,7,8020.62,32,990878,8
19,14,33,-20514.3,0.7,8361.060,32,977977.0,0.8
18,15,33,-26337.4,1.1,8513.81,32,971725.7,1.2
17,16,33,-26585.8583,0.0013,8497.630,32,971458.9086,0.0014
16,17,33,-21003.3,0.4,8304.756,32,977452.0,0.4
15,18,33,-9384.3,0.4,7928.956,32,989925.5,0.4
14,19,33,7540#,200#,7392#,33,008100#,220#
13,20,33,31030#,400#,6657#,33,033310#,430#
24,10,34,52840#,510#,6287#,34,056730#,550#
23,11,34,31680,600,6886,34,034010,640
22,12,34,8323,7,7550.39,34,008935,7
21,13,34,-2997.6,2.1,7860.35,33,996781.9,2.3
20,14,34,-19991.7,0.8,8337.166,33,978538.0,0.9
19,15,34,-24548.7,0.8,8448.186,33,973645.9,0.9
18,16,34,-29931.69,0.04,8583.499,33,967867.01,0.05
17,17,34,-24440.09,0.05,8398.971,33,973762.49,0.05
16,18,34,-18378.29,0.08,8197.672,33,980270.09,0.08
15,19,34,-1220#,200#,7670#,33,998690#,210#
14,20,34,14890#,300#,7173#,34,015990#,320#
24,11,35,37830#,670#,6745#,35,040610#,720#
23,12,35,15640,270,7356,35,016790,290
22,13,35,-224,7,7787.12,34,999760,8
21,14,35,-14390,40,8169.6,34,984550,40
20,15,35,-24857.8,1.9,8446.25,34,973314.0,2.0
19,16,35,-28846.21,0.04,8537.851,34,969032.32,0.04
18,17,35,-29013.53,0.04,8520.279,34,968852.69,0.04
17,18,35,-23047.3,0.7,8327.462,34,975257.7,0.7
16,19,35,-11172.9,0.5,7965.841,34,988005.4,0.6
15,20,35,5190#,200#,7476#,35,005570#,220#
14,21,35,27100#,400#,6828#,35,029090#,430#
25,11,36,45900#,690#,6557#,36,049280#,740#
24,12,36,20380,690,7244,36,021880,740
23,13,36,5950,150,7624,36,006390,160
22,14,36,-12440,70,8112.5,35,986650,80
21,15,36,-20251,13,8307.9,35,978260,14
20,16,36,-30664.14,0.19,8575.390,35,967080.69,0.20
19,17,36,-29522.01,0.04,8521.932,35,968306.82,0.04
18,18,36,-30231.542,0.027,8519.910,35,967545.106,0.029
17,19,36,-17417.2,0.3,8142.223,35,981301.9,0.3
16,20,36,-6450,40,7815.9,35,993070,40
15,21,36,16150#,300#,7166#,36,017340#,320#
26,11,37,53130#,690#,6403#,37,057040#,740#
25,12,37,28210,700,7055,37,030290,750
24,13,37,9810,180,7531,37,010530,190
23,14,37,-6570,110,7953,36,992950,120
22,15,37,-19000,40,8267.6,36,979610,40
21,16,37,-26896.43,0.20,8459.936,36,971125.50,0.21
20,17,37,-31761.55,0.05,8570.282,36,965902.57,0.06
19,18,37,-30947.68,0.21,8527.141,36,966776.30,0.22
18,19,37,-24800.20,0.09,8339.848,36,973375.89,0.10
17,20,37,-13136.1,0.6,8003.457,36,985897.8,0.7
16,21,37,3780#,300#,7525#,37,004060#,320#
15,22,37,25170#,400#,6926#,37,027020#,430#
27,11,38,61910#,720#,6216#,38,066460#,770#
26,12,38,34070#,500#,6928#,38,036580#,540#
25,13,38,16470#,150#,7370#,38,017680#,160#
24,14,38,-4170,100,7892.8,37,995520,110
23,15,38,-14620,70,8147.3,37,984300,80
22,16,38,-26861,7,8448.78,37,971163,8
21,17,38,-29798.12,0.10,8505.482,37,968010.41,0.11
20,18,38,-34714.83,0.19,8614.281,37,962732.10,0.21
19,19,38,-28800.76,0.20,8438.059,37,969081.11,0.21
18,20,38,-22058.50,0.19,8240.043,37,976319.22,0.21
17,21,38,-4250#,200#,7751#,37,995440#,220#
16,22,38,11370#,300#,7319#,38,012210#,320#
28,11,39,69980#,740#,6056#,39,075120#,800#
27,12,39,42780#,510#,6734#,39,045920#,550#
26,13,39,21490#,300#,7260#,39,023070#,320#
25,14,39,2320,140,7731,39,002490,150
24,15,39,-12770,110,8098.0,38,986290,120
23,16,39,-23160,50,8344.3,38,975130,50
22,17,39,-29800.2,1.7,8494.40,38,968008.2,1.9
21,18,39,-33242,5,8562.60,38,964313,5
20,19,39,-33807.195,0.005,8557.026,38,963706.485,0.005
19,20,39,-27282.7,0.6,8369.671,38,970710.8,0.6
18,21,39,-14173,24,8013.5,38,984785,26
17,22,39,2500#,200#,7566#,39,002680#,220#
16,23,39,22570#,400#,7031#,39,024230#,430#
28,12,40,49550#,500#,6598#,40,053190#,540#
27,13,40,28820#,300#,7097#,40,030940#,320#
26,14,40,5670,120,7656,40,006080,130
25,15,40,-8140,80,7981.4,39,991260,90
24,16,40,-22838,4,8329.33,39,975483,4
23,17,40,-27560,30,8427.8,39,970420,30
22,18,40,-35039.9000,0.0022,8595.259,39,962383.1220,0.0023
21,19,40,-33535.50,0.06,8538.091,39,963998.17,0.06
20,20,40,-34846.402,0.020,8551.305,39,962590.851,0.022
19,21,40,-20523.4,2.8,8173.67,39,977967,3
18,22,40,-8990,70,7865.9,39,990350,70
17,23,40,12470#,300#,7310#,40,013390#,320#
29,12,41,58100#,500#,6425#,41,062370#,540#
28,13,41,34590#,400#,6980#,41,037130#,430#
27,14,41,13200#,300#,7482#,41,014170#,320#
26,15,41,-4980,120,7906.6,40,994650,130
25,16,41,-19009,4,8229.64,40,979593,4
24,17,41,-27310,70,8413.0,40,970680,70
23,18,41,-33067.5,0.3,8534.373,40,964500.6,0.4
22,19,41,-35559.549,0.004,8576.073,40,961825.256,0.004
21,20,41,-35137.91,0.14,8546.708,40,962277.91,0.15
20,21,41,-28642.36,0.08,8369.198,40,969251.16,0.08
19,22,41,-15698,28,8034.4,40,983150,30
18,23,41,310#,200#,7625#,41,000330#,220#
17,24,41,20410#,400#,7116#,41,021910#,430#
29,13,42,41990#,500#,6829#,42,045080#,540#
28,14,42,16840#,300#,7410#,42,018080#,320#
27,15,42,1090,100,7765.9,42,001170,100
26,16,42,-17637.7,2.8,8193.23,41,981065,3
25,17,42,-24830,60,8345.9,41,973340,60
24,18,42,-34423,6,8555.61,41,963046,6
23,19,42,-35022.03,0.11,8551.257,41,962402.31,0.11
22,20,42,-38547.29,0.15,8616.565,41,958617.78,0.16
21,21,42,-32121.00,0.15,8444.930,41,965516.69,0.17
20,22,42,-25104.35,0.27,8259.240,41,973049.37,0.29
19,23,42,-7620#,200#,7824#,41,991820#,210#
18,24,42,7060#,300#,7456#,42,007580#,320#
30,13,43,48270#,600#,6712#,43,051820#,640#
29,14,43,24330#,400#,7251#,43,026120#,430#
28,15,43,5040#,300#,7681#,43,005410#,320#
27,16,43,-12195,5,8063.83,42,986908,5
26,17,43,-24160,60,8323.9,42,974060,70
25,18,43,-32010,5,8488.24,42,965636,6
24,19,43,-36575.4,0.4,8576.220,42,960734.7,0.4
23,20,43,-38408.87,0.23,8600.665,42,958766.38,0.24
22,21,43,-36188.1,1.9,8530.83,42,961150.4,2.0
21,22,43,-29316,6,8352.81,42,968528,6
20,23,43,-17920,40,8069.5,42,980770,50
19,24,43,-1970#,200#,7680#,42,997890#,220#
18,25,43,17370#,400#,7213#,43,018650#,430#
30,14,44,29310#,500#,7156#,44,031470#,540#
29,15,44,11110#,400#,7552#,44,011930#,430#
28,16,44,-9204,5,7996.02,43,990119,6
27,17,44,-20480,90,8234.5,43,978010,90
26,18,44,-32673.3,1.6,8493.84,43,964923.8,1.7
25,19,44,-35781.5,0.4,8546.702,43,961587.0,0.5
24,20,44,-41468.7,0.3,8658.177,43,955481.5,0.3
23,21,44,-37816.0,1.8,8557.38,43,959402.8,1.9
22,22,44,-37548.6,0.7,8533.522,43,959689.9,0.8
21,23,44,-23808,7,8203.46,43,974441,8
20,24,44,-13420,50,7949.6,43,985590,60
19,25,44,7460#,300#,7457#,44,008010#,320#
31,14,45,37090#,600#,7004#,45,039820#,640#
30,15,45,15960#,500#,7456#,45,017130#,540#
29,16,45,-3340#,300#,7867#,44,996410#,320#
28,17,45,-18260,140,8182,44,980390,150
27,18,45,-29770.8,0.5,8419.953,44,968039.7,0.6
26,19,45,-36615.6,0.5,8554.675,44,960691.5,0.6
25,20,45,-40812.2,0.4,8630.547,44,956186.3,0.4
24,21,45,-41072.3,0.7,8618.941,44,955907.1,0.7
23,22,45,-39010.3,0.8,8555.732,44,958120.8,0.9
22,23,45,-31886.4,0.9,8380.039,44,965768.5,0.9
21,24,45,-19510,40,8087.7,44,979050,40
20,25,45,-4980#,300#,7747#,44,994650#,320#
19,26,45,14410#,280#,7299#,45,015470#,300#
31,15,46,22840#,500#,7320#,46,024520#,540#
30,16,46,640#,400#,7785#,46,000690#,430#
29,17,46,-13730,100,8080.8,45,985250,100
28,18,46,-29771.3,2.3,8412.38,45,968039.2,2.5
27,19,46,-35413.9,0.7,8518.043,45,961981.6,0.8
26,20,46,-43139.6,2.2,8668.98,45,953687.7,2.4
25,21,46,-41761.6,0.7,8622.021,45,955167.0,0.7
24,22,46,-44128.27,0.09,8656.462,45,952626.36,0.10
23,23,46,-37075.90,0.13,8486.142,45,960197.39,0.14
22,24,46,-29472,11,8303.82,45,968361,12
21,25,46,-12420,90,7916.1,45,986670,90
20,26,46,1210#,300#,7603#,46,001300#,320#
32,15,47,28810#,600#,7209#,47,030930#,640#
31,16,47,7200#,400#,7652#,47,007730#,430#
30,17,47,-9580#,200#,7992#,46,989720#,220#
29,18,47,-25367.3,1.2,8311.425,46,972767.1,1.3
28,19,47,-35712.0,1.4,8514.880,46,961661.6,1.5
27,20,47,-42344.7,2.2,8639.35,46,954541.1,2.4
26,21,47,-44336.8,1.9,8665.10,46,952402.4,2.1
25,22,47,-44937.61,0.08,8661.233,46,951757.49,0.09
24,23,47,-42007.07,0.11,8582.235,46,954903.56,0.12
23,24,47,-34563,5,8407.21,46,962895,6
22,25,47,-22570,30,8135.3,46,975770,30
21,26,47,-7130#,500#,7790#,46,992350#,540#
20,27,47,10620#,600#,7396#,47,011400#,640#
32,16,48,12390#,500#,7552#,48,013300#,540#
31,17,48,-4280#,500#,7883#,47,995410#,540#
30,18,48,-22355,17,8243.7,47,976001,18
29,19,48,-32284.5,0.8,8434.232,47,965341.2,0.8
28,20,48,-44224.868,0.018,8666.692,47,952522.654,0.019
27,21,48,-44504,5,8656.21,47,952223,5
26,22,48,-48492.95,0.07,8723.012,47,947940.68,0.08
25,23,48,-44478.0,1.0,8623.069,47,952250.9,1.0
24,24,48,-42821,7,8572.26,47,954029,8
23,25,48,-29297,7,8274.19,47,968549,7
22,26,48,-18010,90,8022.7,47,980670,100
21,27,48,1730#,500#,7595#,48,001860#,540#
20,28,48,18180#,420#,7236#,48,019520#,460#
33,16,49,20390#,580#,7400#,49,021890#,630#
32,17,49,740#,400#,7785#,49,000790#,430#
31,18,49,-17060#,400#,8132#,48,981690#,430#
30,19,49,-29611.5,0.8,8372.275,48,968210.8,0.9
29,20,49,-41300.00,0.18,8594.850,48,955662.63,0.19
28,21,49,-46562.4,2.3,8686.28,48,950013.2,2.4
27,22,49,-48564.01,0.08,8711.163,48,947864.39,0.08
26,23,49,-47962.2,0.8,8682.913,48,948510.5,0.9
25,24,49,-45332.4,2.2,8613.28,48,951333.7,2.4
24,25,49,-37619.9,2.2,8439.92,48,959613.4,2.4
23,26,49,-24751,24,8161.3,48,973429,26
22,27,49,-9780#,500#,7840#,48,989500#,540#
21,28,49,8530#,600#,7450#,49,009160#,640#
33,17,50,7700#,400#,7651#,50,008270#,430#
32,18,50,-13230#,500#,8054#,49,985800#,540#
31,19,50,-25728,8,8288.58,49,972380,8
30,20,50,-39589.2,1.6,8550.16,49,957499.2,1.7
29,21,50,-44537.1,2.5,8633.47,49,952187.4,2.7
28,22,50,-51431.87,0.08,8755.723,49,944785.62,0.09
27,23,50,-49223.24,0.09,8695.903,49,947156.68,0.10
26,24,50,-50261.36,0.09,8701.019,49,946042.21,0.10
25,25,50,-42626.89,0.12,8532.682,49,954238.16,0.12
24,26,50,-34476,8,8354.03,49,962988,9
23,27,50,-17590,130,8000.6,49,981120,140
22,28,50,-3460#,500#,7702#,49,996290#,540#
34,17,51,14290#,700#,7530#,51,015340#,750#
33,18,51,-6490#,400#,7922#,50,993030#,430#
32,19,51,-22515,13,8221.33,50,975829,14
31,20,51,-36332.3,0.5,8476.914,50,960995.7,0.6
30,21,51,-43250.4,2.5,8597.22,50,953568.8,2.7
29,22,51,-49733.0,0.5,8708.991,50,946609.5,0.5
28,23,51,-52203.11,0.10,8742.085,50,943957.66,0.10
27,24,51,-51450.71,0.17,8711.992,50,944765.39,0.18
26,25,51,-48243.2,0.3,8633.760,50,948208.8,0.3
25,26,51,-40189.2,1.4,8460.498,50,956855.1,1.5
24,27,51,-27340,50,8193.3,50,970650,50
23,28,51,-11650#,500#,7870#,50,987490#,540#
35,17,52,22360#,700#,7386#,52,024000#,750#
34,18,52,-1380#,600#,7827#,51,998520#,640#
33,19,52,-17140,30,8115.0,51,981600,40
32,20,52,-34266.3,0.7,8429.382,51,963213.6,0.7
31,21,52,-40524,3,8534.67,51,956496,3
30,22,52,-49477.7,2.7,8691.82,51,946883.5,2.9
29,23,52,-51443.03,0.16,8714.569,51,944773.64,0.17
28,24,52,-55419.51,0.11,8775.995,51,940504.71,0.12
27,25,52,-50711.39,0.13,8670.409,51,945559.09,0.14
26,26,52,-48332.10,0.18,8609.608,51,948113.36,0.19
25,27,52,-34344,5,8325.56,51,963130,6
24,28,52,-22560,80,8083.9,51,975780,90
23,29,52,-1880#,600#,7671#,51,997980#,640#
35,18,53,6790#,700#,7677#,53,007290#,750#
34,19,53,-12300,110,8022.8,52,986800,120
33,20,53,-29390,40,8330.6,52,968450,50
32,21,53,-38770,18,8492.8,52,958379,19
31,22,53,-46881.4,2.9,8631.13,52,949671,3
30,23,53,-51852,3,8710.14,52,944335,3
29,24,53,-55287.62,0.12,8760.210,52,940646.30,0.12
28,25,53,-54690.3,0.3,8734.180,52,941287.5,0.4
27,26,53,-50947.5,1.7,8648.80,52,945305.6,1.8
26,27,53,-42659.4,1.7,8477.66,52,954203.3,1.9
25,28,53,-29631,25,8217.1,52,968190,27
24,29,53,-13140#,500#,7891#,52,985890#,540#
36,18,54,12560#,800#,7578#,54,013480#,860#
35,19,54,-5150#,400#,7891#,53,994470#,430#
34,20,54,-25160,50,8247.5,53,972990,50
33,21,54,-34438,14,8404.81,53,963029,15
32,22,54,-45744,16,8599.69,53,950892,17
31,23,54,-49898,11,8662.14,53,946432,12
30,24,54,-56935.38,0.13,8777.967,53,938877.36,0.14
29,25,54,-55558.2,1.0,8737.977,53,940355.8,1.1
28,26,54,-56254.6,0.3,8736.385,53,939608.2,0.4
27,27,54,-48010.1,0.4,8569.220,53,948459.1,0.4
26,28,54,-39278,5,8393.03,53,957833,5
25,29,54,-21240#,400#,8045#,53,977200#,430#
24,30,54,-5700#,220#,7742#,53,993880#,230#
36,19,55,470#,500#,7792#,55,000510#,540#
35,20,55,-18650,160,8125.9,54,979980,170
34,21,55,-30840,60,8333.4,54,966890,70
33,22,55,-41832,29,8519.0,54,955090,30
32,23,55,-49125,27,8637.3,54,947262,29
31,24,55,-55110.32,0.23,8731.936,54,940836.64,0.25
30,25,55,-57712.54,0.26,8765.025,54,938043.04,0.28
29,26,55,-57481.4,0.3,8746.598,54,938291.2,0.3
28,27,55,-54030.0,0.4,8669.620,54,941996.4,0.4
27,28,55,-45336.0,0.7,8497.323,54,951329.8,0.8
26,29,55,-31640,160,8234.0,54,966040,170
25,30,55,-14270#,400#,7904#,54,984680#,430#
37,19,56,7980#,600#,7663#,56,008570#,640#
